,id,data,message_order,label
0,KG0OUA,good morning,2,location
1,L9DC9H,location,5,whoAreYou
2,ZQR6R5,hi,5,whoAreYou
3,RH0M4E,hi,4,greeting
4,WLVX8I,hello,1,greeting
5,M2IRWL,sir,3,whoAreYou
6,5MXRNL,k,2,whoAreYou
7,609W8Y,on thanks,2,dontMeetRequirements
8,T3V6IY,hii,3,dontMeetRequirements
9,GI07N1,sir i dnt have two wheeler,2,whoAreYou
10,GYJWFS,hi,1,greeting
11,6ZQLO7,hlo,3,greeting
12,1XYSRQ,good mrng,4,greeting
13,C7747X,ok,0,greeting
14,WU1MHH,gm,3,notInterested
15,AL0YY2,yes but no bikes sorry,5,notInterested
16,NKB41P,where it is,1,whoAreYou
17,HKWKR6,job placement company,4,greeting
18,OGBMAM,were,5,whoAreYou
19,J7F5AP,hiii,5,dontMeetRequirements
20,OAMYVS,no,0,whoAreYou
21,R6Z32R,hii,0,greeting
22,W9VE02,thank you,1,dontMeetRequirements
23,V952V0,where is the location,1,notInterested
24,7YXU1E,nahi,3,greeting
25,Z7UF71,marathi,3,whoAreYou
26,GZLTJC,ok,1,whoAreYou
27,2YAC8M,iska location kya hoga,2,location
28,8I1GCO,poda,1,notInterested
29,MY3Q1J,ok,2,whoAreYou
30,YBEI5V,ok,2,location
31,0C9Y5K,k,3,location
32,UNWCX4,ldhu,3,greeting
33,YO8Z66,hi,2,greeting
34,XWSC3M,i am not interested,1,greeting
35,N84XF2,how r u,4,location
36,HTRWUM,hi,5,whoAreYou
37,QS76OO,k,0,whoAreYou
38,OW1O0D,hi,0,greeting
39,HKNA96,hiio,1,notInterested
40,8CWG23,hello,4,notInterested
41,5ENIE2,ok thanks,2,whoAreYou
42,WE94Y2,ok,3,whoAreYou
43,986LDG,learning licence hai,1,notInterested
44,S4914B,okkk,3,whoAreYou
45,UUNNK7,bhaiii,1,greeting
46,8H0AIC,ok,4,whoAreYou
47,S5XV4G,hey,3,greeting
48,J13L6Z,msg kyu karte hai,2,notInterested
49,0FJ0SD,hi sir,2,greeting
50,PL4IXA,ok,0,whoAreYou
51,L2MVZC,hi,5,whoAreYou
52,N63LPE,how are u,1,notInterested
53,Q29W1E,hi sir,5,whoAreYou
54,B6XAGF,i have learning licence,5,whoAreYou
55,64HXXB,hii,4,whoAreYou
56,SG3868,hii,4,whoAreYou
57,3O1NCP,hii,1,whoAreYou
58,GE2L4N,gd morning,3,location
59,OBMETO,okay,4,greeting
60,Y2G2AI,ok,4,notInterested
61,714KZV,k,2,greeting
62,WLAG4Y,dont msg,3,whoAreYou
63,W1IP7Z,i have learning license,4,notInterested
64,LK3Z2Z,lerner license only,3,whoAreYou
65,9QA9O7,ok,2,greeting
